feature	r
Neurosynth_TFIDF__43	0.1332112372408199
Neurosynth_TFIDF__unrelated	0.1325007127594492
Neurosynth_TFIDF__precentral	0.1323515870845755
Neurosynth_TFIDF__weaker	0.1303644384102494
Neurosynth_TFIDF__heschl gyrus	0.1293865909681977
Neurosynth_TFIDF__locus	0.1293119596504693
Neurosynth_TFIDF__s1	0.129182703719756
Neurosynth_TFIDF__poor	0.128881623958249
Neurosynth_TFIDF__patterns	0.12836977977279
Neurosynth_TFIDF__primary secondary	0.1282798043005163
Neurosynth_TFIDF__white	0.1282749092990386
Neurosynth_TFIDF__especially	0.1277795646013032
Neurosynth_TFIDF__partially	0.1276775044022806
Neurosynth_TFIDF__regulation	0.1273500095065537
Neurosynth_TFIDF__constant	0.127257116055877
Neurosynth_TFIDF__temporal lobes	0.127010401380661
Neurosynth_TFIDF__noxious	0.126884928626802
Neurosynth_TFIDF__involved cognitive	0.1261699213348095
Neurosynth_TFIDF__32	0.1260750705372317
Neurosynth_TFIDF__alpha	0.1256128885718948
Neurosynth_TFIDF__music	0.1256128885718948
Neurosynth_TFIDF__rich	0.1256128885718948
Neurosynth_TFIDF__lacking	0.1256128885718948
Neurosynth_TFIDF__acts	0.1251557874590067
Neurosynth_TFIDF__food	0.125108178546779
Neurosynth_TFIDF__frontal gyrus	0.125093428094261
Neurosynth_TFIDF__electrical	0.1250546994329462
Neurosynth_TFIDF__literature	0.1249910598731511
Neurosynth_TFIDF__equally	0.1247938347595022
Neurosynth_TFIDF__similarities	0.1246297413778079
Neurosynth_TFIDF__suggests	0.1245006697624328
Neurosynth_TFIDF__technique	0.1240958568399942
Neurosynth_TFIDF__passive viewing	0.1240264487327022
Neurosynth_TFIDF__provides evidence	0.1239428806246201
Neurosynth_TFIDF__focus	0.1237904364153766
Neurosynth_TFIDF__heschl	0.123333364748684
Neurosynth_TFIDF__actually	0.1224399404246479
Neurosynth_TFIDF__distribution	0.1224390689184498
Neurosynth_TFIDF__order	0.1219246323060958
Neurosynth_TFIDF__protocol	0.1216985285853661
Neurosynth_TFIDF__motor cortex	0.1210837991815096
Neurosynth_TFIDF__bias	0.1207411369269436
Neurosynth_TFIDF__body	0.1204435961930169
Neurosynth_TFIDF__gyrus insula	0.1196812009439381
Neurosynth_TFIDF__memory wm	0.1196009772675909
Neurosynth_TFIDF__wm	0.1196009772675909
Neurosynth_TFIDF__relied	0.1194144107730401
Neurosynth_TFIDF__gyrus ba	0.1191854156471268
Neurosynth_TFIDF__experiment	0.1190892638605049
Neurosynth_TFIDF__enabled	0.1187060009823466
Neurosynth_TFIDF__cortex precuneus	0.1186671831500647
Neurosynth_TFIDF__paced	0.1186548124787574
Neurosynth_TFIDF__control processes	0.118643219310676
Neurosynth_TFIDF__evoke	0.1183590562947797
Neurosynth_TFIDF__primary	0.1183258770690155
Neurosynth_TFIDF__intensity	0.1182401103894005
Neurosynth_TFIDF__larger	0.118000901069264
Neurosynth_TFIDF__contralateral	0.1174402074036798
Neurosynth_TFIDF__inhibitory	0.1173419990282217
Neurosynth_TFIDF__run	0.1165213602493048
Neurosynth_TFIDF__manipulated	0.1164854706816486
Neurosynth_TFIDF__immediate	0.1164526778999615
Neurosynth_TFIDF__share	0.1161812772916387
Neurosynth_TFIDF__correction	0.1157851664274583
Neurosynth_TFIDF__people	0.1156611294391506
Neurosynth_TFIDF__little known	0.1154080786157355
Neurosynth_TFIDF__respective	0.1146867796820038
Neurosynth_TFIDF__traumatic	0.1146434067434815
Neurosynth_TFIDF__greater extent	0.1144206156635249
Neurosynth_TFIDF__sexual	0.1142232952919367
Neurosynth_TFIDF__trend	0.113840175754249
Neurosynth_TFIDF__network	0.1138311754610294
Neurosynth_TFIDF__supplementary motor	0.113787030202007
Neurosynth_TFIDF__idea	0.1136718827167032
Neurosynth_TFIDF__frontal parietal	0.1136383248088373
Neurosynth_TFIDF__generally	0.1135965884301113
Neurosynth_TFIDF__images acquired	0.1135580842524287
Neurosynth_TFIDF__somatosensory	0.1122585354829369
Neurosynth_TFIDF__healthy adults	0.1121789681517947
Neurosynth_TFIDF__intense	0.1117288305793657
Neurosynth_TFIDF__listening	0.1117051172140784
