Feature	r
Neurosynth_TFIDF__insula	0.467
Neurosynth_TFIDF__functional magnetic	0.414
Neurosynth_TFIDF__stimulus	0.360
Neurosynth_TFIDF__resonance	0.341
Neurosynth_TFIDF__magnetic resonance	0.337
Neurosynth_TFIDF__thalamus	0.321
Neurosynth_TFIDF__response	0.320
Neurosynth_TFIDF__stimulation	0.313
Neurosynth_TFIDF__magnetic	0.312
Neurosynth_TFIDF__cortices	0.288
